"Buurten";"bevolking totaal|2018";"mannen (aantal)|2018";"vrouwen (aantal)|2018";"jeugd: 0 t/m 17 jarigen|2018";"jongeren: 18 t/m 26 jaar|2018";"volwassenen: 27 t/m 64 jaar|2018";"senioren: 65 jaar en ouder|2018";"woonruimten|2018";"zelfstandige woningen eigenaar-bewoner|2018";"zelfstandige woningen in corporatief bezit|2018";"gemiddeld huishoudensinkomen|2018";"percentage minimahuishoudens|2018";"aangiften diefstal af/uit woning|2018";"aangiften diefstal fiets|2018";"aangiften diefstal auto|2018";"aangiften diefstal af/uit auto|2018";"aangiften diefstal af/uit bedrijf|2018";"aangiften van vernieling|2018";"aangiften van mishandeling|2018"
"0000 Binnenstad-Noord";4404;2365;2039;106;2469;1582;244;2089;585;409;30,0;17,1;25;176;1;8;17;25;35
"0001 Binnenstad-Zuid";6626;3583;3043;203;3779;2211;429;3405;930;980;30,7;21,3;42;306;3;30;28;96;196
"0002 Binnenstad-Oost";4017;2126;1891;140;2058;1516;301;2230;632;867;27,8;20,4;17;56;1;3;2;16;8
"0003 Binnenstad-West";1708;943;765;49;859;650;150;983;205;156;29,7;17,9;9;13;0;4;2;8;5
"0004 Noorderplantsoen";11;6;5;0;0;8;3;0;"";"";"";"";0;0;0;0;0;0;0
"0005 Hortusbuurt-Ebbingekwartier";5452;2769;2683;325;2657;1980;489;2689;900;925;32,1;20,3;20;68;2;9;16;24;13
"0007 UMCG";"";"";"";"";"";"";"";2;1;0;"";"";0;0;0;0;0;0;0
"0008 Stationsgebied";342;178;164;5;203;77;57;74;51;0;36,8;"";2;17;0;1;0;3;2
"0100 De Meeuwen";1416;713;703;170;416;607;223;545;349;84;43,4;7,2;3;18;0;13;6;12;6
"0101 Oosterpoort";5191;2605;2586;319;2060;2348;463;2811;1076;763;30,9;18,1;18;47;0;14;1;21;5
"0102 Herewegbuurt";1632;790;842;143;679;705;105;777;434;53;39,6;12,5;7;23;0;4;3;12;9
"0103 Rivierenbuurt";4540;2212;2328;247;1775;1938;580;2515;959;932;31,0;16,1;8;41;0;12;0;13;4
"0104 Grunobuurt";2138;1072;1066;158;790;1027;163;1218;500;311;31,5;11,3;12;23;0;5;1;6;3
"0105 Badstratenbuurt";882;465;417;39;388;410;45;567;178;171;27,6;24,0;5;34;0;3;1;7;3
"0106 Zeeheldenbuurt";3159;1549;1610;154;1833;1045;126;1473;803;232;30,1;10,9;16;119;1;10;2;23;12
"0107 Laanhuizen";1242;609;633;112;463;551;116;630;412;43;38,1;6,4;7;15;0;1;3;10;3
"0108 Stadspark";28;16;12;5;1;19;3;1;0;0;"";"";0;0;0;0;0;0;0
"0109 Martini Trade Park";"";"";"";"";"";"";"";1;0;0;"";"";0;0;0;0;0;0;0
"0200 Oranjebuurt";2802;1369;1433;367;771;1307;356;1377;630;454;38,4;17,4;4;23;0;3;1;13;2
"0201 Noorderplantsoenbuurt";3868;1896;1972;369;1482;1767;250;2069;1077;278;34,7;13,1;6;35;0;5;1;20;2
"0202 Schildersbuurt";5764;2844;2920;319;3025;1935;485;2490;1335;262;37,1;11,4;36;52;1;15;7;34;18
"0203 Kostverloren";2246;1144;1102;190;701;1118;234;1319;399;710;28,1;26,6;7;6;0;2;4;9;6
"0300 De Hoogte";4020;2088;1932;657;897;2216;242;2352;260;1705;25,3;33,4;11;36;0;11;2;30;24
"0301 Indische buurt";8440;4279;4161;1021;2813;3958;640;4671;1094;2827;25,6;31,7;24;93;1;15;5;37;24
"0302 Professorenbuurt";6149;2913;3236;500;2929;2394;324;3005;1411;546;33,0;13,7;21;98;2;13;2;23;17
"0400 Gorechtbuurt";4925;2386;2539;405;1949;2164;403;2734;968;897;30,7;19,6;8;146;0;10;4;32;18
"0401 Vogelbuurt";2309;1154;1155;434;322;1289;261;1366;118;1063;26,0;37,7;7;18;1;11;0;17;15
"0402 Bloemenbuurt";2893;1423;1470;458;520;1720;195;1815;393;1190;24,9;34,6;7;10;0;3;1;12;11
"0403 Florabuurt";1190;604;586;153;272;665;100;705;317;235;30,6;21,7;5;7;0;3;0;9;4
"0404 Damsterbuurt";812;435;377;44;319;386;63;440;91;153;30,0;14,5;2;8;0;0;2;9;2
"0500 De Linie";860;448;412;231;83;507;39;371;152;187;57,7;7,1;2;9;1;7;3;6;3
"0501 Europapark";453;260;193;28;139;223;63;313;114;132;43,9;7,4;1;5;0;4;2;3;2
"0502 Eemskanaal";67;46;21;2;20;44;1;12;1;0;"";"";0;0;3;0;0;0;0
"0503 Kop van Oost";658;347;311;68;156;380;54;391;185;74;51,8;3,2;1;4;0;3;1;2;1
"0504 Woonschepenhaven";141;91;50;18;33;80;10;0;"";"";"-";"";0;0;0;0;0;2;0
"0505 Driebond";28;20;8;0;11;16;1;3;1;0;"";"";1;1;1;2;4;6;2
"0506 Eemspoort";27;14;13;8;1;12;6;11;7;0;"";"";1;1;1;2;4;6;2
"0507 Euvelgunne";48;30;18;9;7;24;8;7;4;0;"";"";1;1;3;2;4;6;2
"0508 Winschoterdiep";53;40;13;2;3;46;2;8;5;0;"";"";0;0;0;0;0;0;0
"0509 Stainkoel'n";"";"";"";"";"";"";"";0;"";"";"";"";0;0;0;0;0;0;0
"0510 Roodehaan";25;12;13;3;3;15;4;10;6;0;"";"";0;0;0;0;0;1;0
"0511 Waterhuizen";6;3;3;2;2;2;0;1;1;0;"";"";0;0;0;0;0;0;0
"0600 Sterrebosbuurt";390;299;91;34;24;304;28;62;52;1;"";"";1;4;0;0;0;1;1
"0601 Coendersborg";3080;1460;1620;515;356;1461;748;1701;1062;220;42,8;6,2;6;6;0;2;1;10;2
"0602 Klein Martijn";649;313;336;121;40;315;173;291;244;0;68,9;1,8;2;2;0;0;0;2;0
"0603 Villabuurt";922;447;475;176;48;346;352;436;369;0;81,7;1,2;9;3;1;0;0;5;1
"0604 Helpman";6136;3026;3110;746;1476;3182;731;3197;1812;502;35,9;14,8;12;54;2;11;3;29;28
"0605 De Wijert";4807;2402;2405;764;815;2521;702;2813;773;1358;29,3;21,9;14;31;2;10;3;21;12
"0606 De Wijert-Zuid";3183;1501;1682;733;194;1458;798;1431;1109;112;52,6;4,6;15;3;0;1;3;16;2
"0700 Corpus den Hoorn";4507;2134;2373;563;766;2184;991;2725;823;1291;30,3;19,0;8;10;1;15;5;24;11
"0701 Hoornsemeer";4422;2149;2273;635;470;2132;1183;2616;963;861;37,4;12,7;13;9;0;1;2;13;7
"0702 Hoornsepark";719;364;355;138;33;329;219;297;229;0;63,7;1,7;2;2;0;0;0;2;1
