buurt_number,dogs_amount,aantal_mensen_met_een_uitkering_Participatiewet,percentage_mensen_met_een_uitkering_krachtens_de_Participatiewet,bevolking_totaal,mannen_aantal,vrouwen_aantal,mannen_perc,vrouwen_perc,jeugd_0_17_jarigen,jongeren_18_26_jaar,volwassenen_27_64_jaar,senioren_65_jaar_en_ouder,perc_jeugd_0_17_jaar,perc_jongeren_18_26_jaar,perc_volwassenen_27_64_jaar,perc_senioren_65_jaar_en_ouder,woonruimten,percentage_woonruimten,perc_zelfstandige_woningen_eigenaar-bewoner,perc_zelfstandige_woningen_in_corporatief_bezit,perc_zelfstandige_woningen_overig_incl_onbekend,gemiddeld_huishoudensinkomen,koopkracht_van_huishoudens,percentage_minimahuishoudens,aangiften_diefstal_af_uit_woning,aangiften_diefstal_af_uit_woning_relatief,aangiften_diefstal_auto,aangiften_diefstal_af_uit_bedrijf,aangiften_diefstal_fiets,aangiften_diefstal_af_uit_auto,aangiften_van_mishandeling,aangiften_van_vernieling,aangiften_mishandeling_relatief,buurt_name
0000,37,141,3.5,4404.0,2365.0,2039.0,53.7,46.3,106.0,2469.0,1582.0,244.0,2.4,56.1,35.9,5.5,2089.0,76.9,28.0,19.6,52.4,30.0,85.7,17.1,25.0,12.0,1.0,17.0,176.0,8.0,35.0,25.0,7.9,Binnenstad-Noord
0001,51,224,3.7,6626.0,3583.0,3043.0,54.1,45.9,203.0,3779.0,2211.0,429.0,3.1,57.0,33.4,6.5,3405.0,78.4,27.3,28.8,43.9,30.7,86.4,21.3,42.0,12.3,3.0,28.0,306.0,30.0,196.0,96.0,29.6,Binnenstad-Zuid
0002,48,215,6.0,4017.0,2126.0,1891.0,52.9,47.1,140.0,2058.0,1516.0,301.0,3.5,51.2,37.7,7.5,2230.0,91.3,28.3,38.9,32.8,27.8,79.4,20.4,17.0,7.6,1.0,2.0,56.0,3.0,8.0,16.0,2.0,Binnenstad-Oost
0003,21,54,3.6,1708.0,943.0,765.0,55.2,44.8,49.0,859.0,650.0,150.0,2.9,50.3,38.1,8.8,983.0,88.2,20.9,15.9,63.3,29.7,85.4,17.9,9.0,9.2,0.0,2.0,13.0,4.0,5.0,8.0,2.9,Binnenstad-West
0005,108,213,4.5,5452.0,2769.0,2683.0,50.8,49.2,325.0,2657.0,1980.0,489.0,6.0,48.7,36.3,9.0,2689.0,87.3,33.5,34.4,32.1,32.1,87.4,20.3,20.0,7.4,2.0,16.0,68.0,9.0,13.0,24.0,2.4,Hortusbuurt-Ebbingekwartier
0008,2,0,0.0,342.0,178.0,164.0,52.0,48.0,5.0,203.0,77.0,57.0,1.5,59.4,22.5,16.7,74.0,63.2,68.9,0.0,31.1,36.8,105.6,0.0,2.0,27.0,0.0,0.0,17.0,1.0,2.0,3.0,5.8,Stationsgebied
0100,33,17,1.6,1416.0,713.0,703.0,50.4,49.6,170.0,416.0,607.0,223.0,12.0,29.4,42.9,15.7,545.0,92.5,64.0,15.4,20.6,43.4,109.3,7.2,3.0,5.5,0.0,6.0,18.0,13.0,6.0,12.0,4.2,De Meeuwen
0101,124,229,5.1,5191.0,2605.0,2586.0,50.2,49.8,319.0,2060.0,2348.0,463.0,6.1,39.7,45.2,8.9,2811.0,94.3,38.3,27.1,34.6,30.9,84.4,18.1,18.0,6.4,0.0,1.0,47.0,14.0,5.0,21.0,1.0,Oosterpoort
0102,31,35,2.5,1632.0,790.0,842.0,48.4,51.6,143.0,679.0,705.0,105.0,8.8,41.6,43.2,6.4,777.0,95.6,55.9,6.8,37.3,39.6,102.3,12.5,7.0,9.0,0.0,3.0,23.0,4.0,9.0,12.0,5.5,Herewegbuurt
0103,76,185,4.9,4540.0,2212.0,2328.0,48.7,51.3,247.0,1775.0,1938.0,580.0,5.4,39.1,42.7,12.8,2515.0,92.5,38.1,37.1,24.8,31.0,86.7,16.1,8.0,3.2,0.0,0.0,41.0,12.0,4.0,13.0,0.9,Rivierenbuurt
