ID,Title,ShortTitle,Identifier,Summary,Modified,ReasonDelivery,ExplanatoryText,Language,Catalog,Frequency,Period,ShortDescription,Description,DefaultPresentation,DefaultSelection,GraphTypes,OutputStatus,Source,MetaDataModified,SearchPriority
0,"Bevolking; geslacht, leeftijd, nationaliteit en regio, 1 januari",Bevolking; nationaliteit en regio,84727NED,"Bevolking naar geslacht, vijfjaarsleeftijdgroepen en een selectie van
nationaliteiten per regio op 1 januari",2022-06-03 2:00:00,Actualisering,,nl,CBS,Perjaar,1995 - 2022,"
Deze tabel bevat gegevens over de inwoners van Nederland naar geslacht, leeftijd (vijfjaargroepen) en een selectie van nationaliteiten per regio, 1 januari.

De in de tabel opgenomen regio's zijn landsdelen, provincies, COROP-gebieden en gemeenten.

De gepresenteerde regiototalen betreffen samentellingen van gemeenten.
In geval van grenswijzigingen die over verschillende regiogrenzen heen gaan is de indeling van de gemeenten gegroepeerd naar de meest recente situatie. Bijvoorbeeld: De gemeente Vianen is per 01-01-2002 overgegaan van provincie Zuid-Holland naar provincie Utrecht en wordt in deze tabel gegroepeerd in de provincie Utrecht.

Gegevens beschikbaar vanaf: 1995

Status van de cijfers:
Alle in de tabel opgenomen cijfers zijn definitief.

Wijzigingen per 3 juni 2022:
De cijfers per 1 januari 2022 zijn toegevoegd.

Wijzigingen per 2 mei 2022:
Door het gebruik van een nieuw bronbestand voor 2020 zijn er wijzigingen opgetreden in een tiental nationaliteiten. Dit heeft ook gevolgen voor wijzigingen in enkele werelddelen, de Europese Unie, de GIPS en de MOE landen in de EU, totaal Nederlandse en totaal niet-Nederlandse nationaliteit.

Wanneer komen er nieuwe cijfers?
In het tweede kwartaal van 2023 worden de cijfers per 1 januari 2023 in deze publicatie opgenomen. 
","INHOUDSOPGAVE

1. Toelichting
2. Definities en verklaring van symbolen
3. Koppelingen naar relevante tabellen en artikelen
4. Bronnen en methoden
5. Meer informatie 

1. TOELICHTING

Deze tabel bevat gegevens over de inwoners van Nederland naar geslacht, leeftijd (vijfjaargroepen) en een selectie van nationaliteiten per regio, 1 januari.

De in de tabel opgenomen regio's zijn landsdelen, provincies, COROP-gebieden en gemeenten.

De gepresenteerde regiototalen betreffen samentellingen van gemeenten.
In geval van grenswijzigingen die over verschillende regiogrenzen heen gaan is de indeling van de gemeenten gegroepeerd naar de meest recente situatie. Bijvoorbeeld: De gemeente Vianen is per 01-01-2002 overgegaan van provincie Zuid-Holland naar provincie Utrecht en wordt in deze tabel gegroepeerd in de provincie Utrecht.

Gegevens beschikbaar vanaf: 1995

Status van de cijfers:
Alle in de tabel opgenomen cijfers zijn definitief.

Wijzigingen per 3 juni 2022:
De cijfers per 1 januari 2022 zijn toegevoegd.

Wijzigingen per 2 mei 2022:
Door het gebruik van een nieuw bronbestand voor 2020 zijn er wijzigingen opgetreden in een tiental nationaliteiten. Dit heeft ook gevolgen voor wijzigingen in enkele werelddelen, de Europese Unie, de GIPS en de MOE landen in de EU, totaal Nederlandse en totaal niet-Nederlandse nationaliteit.

Wanneer komen er nieuwe cijfers?
In het tweede kwartaal van 2023 worden de cijfers per 1 januari 2023 in deze publicatie opgenomen. 

2. DEFINITIES EN VERKLARING VAN SYMBOLEN

Definities:

COROP-gebied (CR)
Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Gemeente (GM)
De kleinste lokale bestuurseenheid, vastgesteld door de Staten Generaal. 

Inwoner
Persoon behorende tot de bevolking van Nederland.
In de bevolkingsaantallen zijn uitsluitend personen begrepen die zijn opgenomen in het bevolkingsregister van een Nederlandse gemeente. In principe wordt iedereen die voor onbepaalde tijd in Nederland woont, opgenomen in het bevolkingsregister van de woongemeente. 
Personen die tot de bevolking van Nederland behoren, maar voor wie geen vaste woonplaats valt aan te wijzen, zijn opgenomen in het bevolkingsregister van de gemeente 's-Gravenhage. 
In de bevolkingsregisters zijn niet opgenomen de in Nederland wonende personen waarvoor uitzonderingsregels gelden met betrekking tot opneming in de bevolkingsregisters (bijvoorbeeld diplomaten en NAVO-militairen) en personen die niet legaal in Nederland verblijven.

Landsdeel (LD)
De indeling in landsdelen is een regionale groepering van provincies. 
Nederland telt 4 landsdelen.

Leeftijd
Het aantal gehele jaren dat op 1 januari van het jaar van waarneming is verstreken sinds de geboortedatum van de persoon. Te berekenen als jaar van waarneming minus één, min het geboortejaar van de persoon.

Nationaliteit
Het wettelijk onderdaan zijn van een bepaalde staat (staatsburgerschap).
Personen kunnen meerdere nationaliteiten hebben. Om dubbeltellingen te voorkomen wordt in statistische overzichten aan personen die meerdere nationaliteiten hebben, slechts één nationaliteit toegekend. Daartoe 
worden prioriteringsregels gesteld. Die komen erop neer dat iemand met de Nederlandse nationaliteit in de statistiek steeds Nederlander is. Voor mensen die niet de Nederlandse nationaliteit bezitten, geldt de volgorde: 
nationaliteit van één van de Benelux-landen (België, Nederland en Luxemburg), nationaliteit van een staat binnen de Europese Unie, andere Europese nationaliteit, niet-Europese nationaliteit.
Personen die geen nationaliteit hebben, zijn staatloos.

Provincie (PV)
Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

Verklaring van symbolen:

niets (blanco)	: het cijfer kan op logische gronden niet voorkomen
. 		: het cijfer is onbekend, onvoldoende betrouwbaar of geheim
*		: voorlopige cijfers
**		: nader voorlopige cijfers

3. KOPPELINGEN NAAR RELEVANTE TABELLEN EN ARTIKELEN

Relevante tabellen
<a href='https://opendata.cbs.nl/statline/#/CBS/nl/dataset/03743'>Bevolking; geslacht, leeftijd en nationaliteit op 1 januari</a>
<a href='https://opendata.cbs.nl/statline/#/CBS/nl/dataset/70634ned'>Bevolking; nationaliteit en regio, 1 januari 1996-2019</a>
<a href='https://opendata.cbs.nl/statline/#/CBS/nl/dataset/70999ned'>Bevolking; aantal nationaliteiten, 1 januari 1995-2014</a>
<a href='https://opendata.cbs.nl/statline/#/CBS/nl/dataset/70798ned'>Nederlanders; geslacht, dubbele nationaliteit, 1 januari 1998 - 2014</a>
<a href='https://opendata.cbs.nl/statline/#/CBS/nl/dataset/37550ned'>Nationaliteitswijzigingen; geslacht, nationaliteit en regeling</a>
<a href='https://opendata.cbs.nl/statline/#/CBS/nl/dataset/37199ned'>Nationaliteitswijziging; geslacht, leeftijd, soort regeling, verblijfsduur</a>
<a href='https://opendata.cbs.nl/statline/#/CBS/nl/dataset/37946ned'>Immi- en emigratie; nationaliteit, leeftijd (31 december) en geslacht</a>

Algemene informatie over de bevolking is te vinden op de themapagina <a href='https://www.cbs.nl/nl-nl/maatschappij/bevolking'>Bevolking</a>.

4. BRONNEN EN METHODEN

De beschrijving van het onderzoek is te vinden bij de korte onderzoeksbeschrijving <a href='https://www.cbs.nl/nl-nl/onze-diensten/methoden/onderzoeksomschrijvingen/korte-onderzoeksbeschrijvingen/bevolkingsstatistiek'>Bevolkingsstatistiek</a>.

De gegevens in de tabel zijn vanaf 2015 samengesteld met behulp van het <a href='https://www.cbs.nl/nl-nl/onze-diensten/methoden/onderzoeksomschrijvingen/korte-onderzoeksomschrijvingen/stelsel-van-sociaal-statistische-bestanden--ssb--'>Stelsel van Sociaal-statistische Bestanden (SSB)</a>.

5. MEER INFORMATIE

<a href='https://www.cbs.nl/nl-nl/over-ons/contact/infoservice'>Infoservice</a>

Copyright (c) Centraal Bureau voor de Statistiek, Den Haag/Heerlen 
Verveelvoudiging is toegestaan, mits het CBS als bron wordt vermeld.","ts=1653392806095&graphtype=Table&r=RegioS,Nationaliteit&k=Topics,Geslacht,Perioden&t=Leeftijd&_gu=NL","$filter=((Leeftijd eq '10000')) and ((Nationaliteit eq 'T001059') or (Nationaliteit eq 'NAT9489') or (Nationaliteit eq 'NAT9269') or (Nationaliteit eq 'NAT9270') or (Nationaliteit eq 'NAT9271') or (Nationaliteit eq 'NAT9272') or (Nationaliteit eq 'NAT9274') or (Nationaliteit eq 'NAT9275') or (Nationaliteit eq 'NAT9277') or (Nationaliteit eq 'NAT9481') or (Nationaliteit eq 'NAT9482') or (Nationaliteit eq 'NAT9483') or (Nationaliteit eq 'NAT9480')) and ((Perioden eq '1995JJ00') or (Perioden eq '2000JJ00') or (Perioden eq '2022JJ00')) and ((substringof('NL',RegioS)))&$select=Geslacht, Leeftijd, Nationaliteit, Perioden, RegioS, Bevolking_1","Table,Bar,Line,Map",Regulier,CBS.,2022-06-03 2:00:00,2
DataProperties,,,,,,,,,,,,,,,,,,,,
ID,Position,ParentID,Type,Key,Title,Description,ReleasePolicy,Datatype,Unit,Decimals,Default,,,,,,,,,
0,0,,Dimension,Geslacht,Geslacht,,,,,,,,,,,,,,,
1,1,,Dimension,Leeftijd,Leeftijd,"Het aantal gehele jaren dat op 1 januari van het jaar van waarneming is verstreken sinds de geboortedatum van de persoon. Te berekenen als jaar van waarneming minus één, min het geboortejaar van de persoon.
",,,,,,,,,,,,,,
2,2,,Dimension,Nationaliteit,Nationaliteit,"Het wettelijk onderdaan zijn van een bepaalde staat (staatsburgerschap).
Personen kunnen meerdere nationaliteiten hebben. Om dubbeltellingen te voorkomen wordt in statistische overzichten aan personen die meerdere nationaliteiten hebben, slechts één nationaliteit toegekend. Daartoe worden prioriteringsregels gesteld. Die komen erop neer dat iemand met de Nederlandse nationaliteit in de statistiek steeds Nederlander is. Voor mensen die niet de Nederlandse nationaliteit bezitten, geldt de volgorde: nationaliteit van één van de Benelux-landen (België, Nederland en Luxemburg), nationaliteit van een staat binnen de Europese Unie, andere Europese nationaliteit, niet-Europese nationaliteit. 
Personen die geen nationaliteit hebben, zijn staatloos.
",,,,,,,,,,,,,,
3,3,,GeoDimension,RegioS,Regio's,,,,,,,,,,,,,,,
4,4,,TimeDimension,Perioden,Perioden,,FALSE,,,,,,,,,,,,,
5,5,,Topic,Bevolking_1,Bevolking,"De inwoners van een bepaald gebied.

In de bevolkingsaantallen zijn uitsluitend personen begrepen die zijn opgenomen in het bevolkingsregister van een Nederlandse gemeente. In principe wordt iedereen die voor onbepaalde tijd in Nederland woont, opgenomen in het bevolkingsregister van de woongemeente. 
Personen die tot de bevolking van Nederland behoren, maar voor wie geen vaste woonplaats valt aan te wijzen, zijn opgenomen in het bevolkingsregister van de gemeente 's-Gravenhage.
In de bevolkingsregisters zijn niet opgenomen de in Nederland wonende personen waarvoor uitzonderingsregels gelden met betrekking tot opneming in de bevolkingsregisters (bijvoorbeeld diplomaten en NAVO-militairen) en personen die niet legaal in Nederland verblijven.",,Long,aantal,0,Impossible,,,,,,,,,
Geslacht,,,,,,,,,,,,,,,,,,,,
Key,Title,Description,,,,,,,,,,,,,,,,,,
T001038,Totaal mannen en vrouwen,,,,,,,,,,,,,,,,,,,
3000,Mannen,,,,,,,,,,,,,,,,,,,
4000,Vrouwen,,,,,,,,,,,,,,,,,,,
Leeftijd,,,,,,,,,,,,,,,,,,,,
Key,Title,Description,,,,,,,,,,,,,,,,,,
10000,Totaal,,,,,,,,,,,,,,,,,,,
22000,95 jaar of ouder,,,,,,,,,,,,,,,,,,,
70100,0 tot 5 jaar,,,,,,,,,,,,,,,,,,,
70200,5 tot 10 jaar,,,,,,,,,,,,,,,,,,,
70300,10 tot 15 jaar,,,,,,,,,,,,,,,,,,,
70400,15 tot 20 jaar,,,,,,,,,,,,,,,,,,,
70500,20 tot 25 jaar,,,,,,,,,,,,,,,,,,,
70600,25 tot 30 jaar,,,,,,,,,,,,,,,,,,,
70700,30 tot 35 jaar,,,,,,,,,,,,,,,,,,,
70800,35 tot 40 jaar,,,,,,,,,,,,,,,,,,,
70900,40 tot 45 jaar,,,,,,,,,,,,,,,,,,,
71000,45 tot 50 jaar,,,,,,,,,,,,,,,,,,,
71100,50 tot 55 jaar,,,,,,,,,,,,,,,,,,,
