"ID";"Geslacht";"Leeftijd";"BurgerlijkeStaat";"Generatie";"Migratieachtergrond";"Perioden";"Bevolking_1"
"0";"T001038";"10000";"T001019";"T001040";"T001040";"1996JJ00";"15493889"
"1";"T001038";"10000";"T001019";"T001040";"T001040";"1997JJ00";"15567107"
"2";"T001038";"10000";"T001019";"T001040";"T001040";"1998JJ00";"15654192"
"3";"T001038";"10000";"T001019";"T001040";"T001040";"1999JJ00";"15760225"
"4";"T001038";"10000";"T001019";"T001040";"T001040";"2000JJ00";"15863950"
"5";"T001038";"10000";"T001019";"T001040";"T001040";"2001JJ00";"15987075"
"6";"T001038";"10000";"T001019";"T001040";"T001040";"2002JJ00";"16105285"
"7";"T001038";"10000";"T001019";"T001040";"T001040";"2003JJ00";"16192572"
"8";"T001038";"10000";"T001019";"T001040";"T001040";"2004JJ00";"16258032"
"9";"T001038";"10000";"T001019";"T001040";"T001040";"2005JJ00";"16305526"
"10";"T001038";"10000";"T001019";"T001040";"T001040";"2006JJ00";"16334210"
"11";"T001038";"10000";"T001019";"T001040";"T001040";"2007JJ00";"16357992"
"12";"T001038";"10000";"T001019";"T001040";"T001040";"2008JJ00";"16405399"
"13";"T001038";"10000";"T001019";"T001040";"T001040";"2009JJ00";"16485787"
"14";"T001038";"10000";"T001019";"T001040";"T001040";"2010JJ00";"16574989"
"15";"T001038";"10000";"T001019";"T001040";"T001040";"2011JJ00";"16655799"
"16";"T001038";"10000";"T001019";"T001040";"T001040";"2012JJ00";"16730348"
"17";"T001038";"10000";"T001019";"T001040";"T001040";"2013JJ00";"16779575"
"18";"T001038";"10000";"T001019";"T001040";"T001040";"2014JJ00";"16829289"
"19";"T001038";"10000";"T001019";"T001040";"T001040";"2015JJ00";"16900726"
"20";"T001038";"10000";"T001019";"T001040";"T001040";"2016JJ00";"16979120"
"21";"T001038";"10000";"T001019";"T001040";"T001040";"2017JJ00";"17081507"
"22";"T001038";"10000";"T001019";"T001040";"T001040";"2018JJ00";"17181084"
"23";"T001038";"10000";"T001019";"T001040";"T001040";"2019JJ00";"17282163"
"24";"T001038";"10000";"T001019";"T001040";"T001040";"2020JJ00";"17407585"
"25";"T001038";"10000";"T001019";"T001040";"T001040";"2021JJ00";"17475415"
"26";"T001038";"10000";"T001019";"T001040";"T001040";"2022JJ00";"17590672"
"27";"T001038";"10000";"T001019";"T001040";"1012600";"1996JJ00";"12995174"
"28";"T001038";"10000";"T001019";"T001040";"1012600";"1997JJ00";"13012818"
"29";"T001038";"10000";"T001019";"T001040";"1012600";"1998JJ00";"13033792"
"30";"T001038";"10000";"T001019";"T001040";"1012600";"1999JJ00";"13060991"
"31";"T001038";"10000";"T001019";"T001040";"1012600";"2000JJ00";"13088648"
"32";"T001038";"10000";"T001019";"T001040";"1012600";"2001JJ00";"13116851"
"33";"T001038";"10000";"T001019";"T001040";"1012600";"2002JJ00";"13140336"
"34";"T001038";"10000";"T001019";"T001040";"1012600";"2003JJ00";"13153814"
"35";"T001038";"10000";"T001019";"T001040";"1012600";"2004JJ00";"13169880"
"36";"T001038";"10000";"T001019";"T001040";"1012600";"2005JJ00";"13182809"
"37";"T001038";"10000";"T001019";"T001040";"1012600";"2006JJ00";"13186595"
"38";"T001038";"10000";"T001019";"T001040";"1012600";"2007JJ00";"13187586"
"39";"T001038";"10000";"T001019";"T001040";"1012600";"2008JJ00";"13189983"
"40";"T001038";"10000";"T001019";"T001040";"1012600";"2009JJ00";"13198081"
"41";"T001038";"10000";"T001019";"T001040";"1012600";"2010JJ00";"13215386"
"42";"T001038";"10000";"T001019";"T001040";"1012600";"2011JJ00";"13228780"
"43";"T001038";"10000";"T001019";"T001040";"1012600";"2012JJ00";"13236155"
"44";"T001038";"10000";"T001019";"T001040";"1012600";"2013JJ00";"13236494"
"45";"T001038";"10000";"T001019";"T001040";"1012600";"2014JJ00";"13234545"
"46";"T001038";"10000";"T001019";"T001040";"1012600";"2015JJ00";"13235405"
"47";"T001038";"10000";"T001019";"T001040";"1012600";"2016JJ00";"13226829"
"48";"T001038";"10000";"T001019";"T001040";"1012600";"2017JJ00";"13218754"
"49";"T001038";"10000";"T001019";"T001040";"1012600";"2018JJ00";"13209225"
"50";"T001038";"10000";"T001019";"T001040";"1012600";"2019JJ00";"13196025"
"51";"T001038";"10000";"T001019";"T001040";"1012600";"2020JJ00";"13186880"
"52";"T001038";"10000";"T001019";"T001040";"1012600";"2021JJ00";"13169507"
"53";"T001038";"10000";"T001019";"T001040";"1012600";"2022JJ00";"13151772"
"54";"T001038";"10000";"T001019";"T001040";"2012605";"1996JJ00";"2498715"
"55";"T001038";"10000";"T001019";"T001040";"2012605";"1997JJ00";"2554289"
"56";"T001038";"10000";"T001019";"T001040";"2012605";"1998JJ00";"2620400"
"57";"T001038";"10000";"T001019";"T001040";"2012605";"1999JJ00";"2699234"
"58";"T001038";"10000";"T001019";"T001040";"2012605";"2000JJ00";"2775302"
"59";"T001038";"10000";"T001019";"T001040";"2012605";"2001JJ00";"2870224"
"60";"T001038";"10000";"T001019";"T001040";"2012605";"2002JJ00";"2964949"
"61";"T001038";"10000";"T001019";"T001040";"2012605";"2003JJ00";"3038758"
"62";"T001038";"10000";"T001019";"T001040";"2012605";"2004JJ00";"3088152"
"63";"T001038";"10000";"T001019";"T001040";"2012605";"2005JJ00";"3122717"
"64";"T001038";"10000";"T001019";"T001040";"2012605";"2006JJ00";"3147615"
"65";"T001038";"10000";"T001019";"T001040";"2012605";"2007JJ00";"3170406"
"66";"T001038";"10000";"T001019";"T001040";"2012605";"2008JJ00";"3215416"
"67";"T001038";"10000";"T001019";"T001040";"2012605";"2009JJ00";"3287706"
"68";"T001038";"10000";"T001019";"T001040";"2012605";"2010JJ00";"3359603"
"69";"T001038";"10000";"T001019";"T001040";"2012605";"2011JJ00";"3427019"
"70";"T001038";"10000";"T001019";"T001040";"2012605";"2012JJ00";"3494193"
"71";"T001038";"10000";"T001019";"T001040";"2012605";"2013JJ00";"3543081"
"72";"T001038";"10000";"T001019";"T001040";"2012605";"2014JJ00";"3594744"
"73";"T001038";"10000";"T001019";"T001040";"2012605";"2015JJ00";"3665321"
"74";"T001038";"10000";"T001019";"T001040";"2012605";"2016JJ00";"3752291"
"75";"T001038";"10000";"T001019";"T001040";"2012605";"2017JJ00";"3862753"
"76";"T001038";"10000";"T001019";"T001040";"2012605";"2018JJ00";"3971859"
"77";"T001038";"10000";"T001019";"T001040";"2012605";"2019JJ00";"4086138"
"78";"T001038";"10000";"T001019";"T001040";"2012605";"2020JJ00";"4220705"
"79";"T001038";"10000";"T001019";"T001040";"2012605";"2021JJ00";"4305908"
"80";"T001038";"10000";"T001019";"T001040";"2012605";"2022JJ00";"4438900"
"81";"T001038";"10000";"T001019";"T001040";"2012655";"1996JJ00";"1327602"
"82";"T001038";"10000";"T001019";"T001040";"2012655";"1997JJ00";"1333161"
"83";"T001038";"10000";"T001019";"T001040";"2012655";"1998JJ00";"1341947"
"84";"T001038";"10000";"T001019";"T001040";"2012655";"1999JJ00";"1353199"
"85";"T001038";"10000";"T001019";"T001040";"2012655";"2000JJ00";"1366535"
"86";"T001038";"10000";"T001019";"T001040";"2012655";"2001JJ00";"1387036"
"87";"T001038";"10000";"T001019";"T001040";"2012655";"2002JJ00";"1406596"
"88";"T001038";"10000";"T001019";"T001040";"2012655";"2003JJ00";"1416143"
"89";"T001038";"10000";"T001019";"T001040";"2012655";"2004JJ00";"1419837"
"90";"T001038";"10000";"T001019";"T001040";"2012655";"2005JJ00";"1423675"
"91";"T001038";"10000";"T001019";"T001040";"2012655";"2006JJ00";"1427565"
"92";"T001038";"10000";"T001019";"T001040";"2012655";"2007JJ00";"1431954"
"93";"T001038";"10000";"T001019";"T001040";"2012655";"2008JJ00";"1449686"
"94";"T001038";"10000";"T001019";"T001040";"2012655";"2009JJ00";"1478396"
"95";"T001038";"10000";"T001019";"T001040";"2012655";"2010JJ00";"1501309"
"96";"T001038";"10000";"T001019";"T001040";"2012655";"2011JJ00";"1527774"
"97";"T001038";"10000";"T001019";"T001040";"2012655";"2012JJ00";"1556542"
"98";"T001038";"10000";"T001019";"T001040";"2012655";"2013JJ00";"1576986"
"99";"T001038";"10000";"T001019";"T001040";"2012655";"2014JJ00";"1597160"
"100";"T001038";"10000";"T001019";"T001040";"2012655";"2015JJ00";"1626812"
"101";"T001038";"10000";"T001019";"T001040";"2012655";"2016JJ00";"1655699"
"102";"T001038";"10000";"T001019";"T001040";"2012655";"2017JJ00";"1689030"
"103";"T001038";"10000";"T001019";"T001040";"2012655";"2018JJ00";"1729016"
"104";"T001038";"10000";"T001019";"T001040";"2012655";"2019JJ00";"1774271"
"105";"T001038";"10000";"T001019";"T001040";"2012655";"2020JJ00";"1828645"
"106";"T001038";"10000";"T001019";"T001040";"2012655";"2021JJ00";"1858730"
"107";"T001038";"10000";"T001019";"T001040";"2012655";"2022JJ00";"1909408"
"108";"T001038";"10000";"T001019";"T001040";"2012657";"1996JJ00";"1171113"
"109";"T001038";"10000";"T001019";"T001040";"2012657";"1997JJ00";"1221128"
"110";"T001038";"10000";"T001019";"T001040";"2012657";"1998JJ00";"1278453"
"111";"T001038";"10000";"T001019";"T001040";"2012657";"1999JJ00";"1346035"
"112";"T001038";"10000";"T001019";"T001040";"2012657";"2000JJ00";"1408767"
"113";"T001038";"10000";"T001019";"T001040";"2012657";"2001JJ00";"1483188"
"114";"T001038";"10000";"T001019";"T001040";"2012657";"2002JJ00";"1558353"
"115";"T001038";"10000";"T001019";"T001040";"2012657";"2003JJ00";"1622615"
"116";"T001038";"10000";"T001019";"T001040";"2012657";"2004JJ00";"1668315"
"117";"T001038";"10000";"T001019";"T001040";"2012657";"2005JJ00";"1699042"
"118";"T001038";"10000";"T001019";"T001040";"2012657";"2006JJ00";"1720050"
"119";"T001038";"10000";"T001019";"T001040";"2012657";"2007JJ00";"1738452"
"120";"T001038";"10000";"T001019";"T001040";"2012657";"2008JJ00";"1765730"
"121";"T001038";"10000";"T001019";"T001040";"2012657";"2009JJ00";"1809310"
"122";"T001038";"10000";"T001019";"T001040";"2012657";"2010JJ00";"1858294"
"123";"T001038";"10000";"T001019";"T001040";"2012657";"2011JJ00";"1899245"
"124";"T001038";"10000";"T001019";"T001040";"2012657";"2012JJ00";"1937651"
"125";"T001038";"10000";"T001019";"T001040";"2012657";"2013JJ00";"1966095"
"126";"T001038";"10000";"T001019";"T001040";"2012657";"2014JJ00";"1997584"
"127";"T001038";"10000";"T001019";"T001040";"2012657";"2015JJ00";"2038509"
"128";"T001038";"10000";"T001019";"T001040";"2012657";"2016JJ00";"2096592"
"129";"T001038";"10000";"T001019";"T001040";"2012657";"2017JJ00";"2173723"
"130";"T001038";"10000";"T001019";"T001040";"2012657";"2018JJ00";"2242843"
"131";"T001038";"10000";"T001019";"T001040";"2012657";"2019JJ00";"2311867"
"132";"T001038";"10000";"T001019";"T001040";"2012657";"2020JJ00";"2392060"
"133";"T001038";"10000";"T001019";"T001040";"2012657";"2021JJ00";"2447178"
"134";"T001038";"10000";"T001019";"T001040";"2012657";"2022JJ00";"2529492"
"135";"T001038";"10000";"T001019";"T001040";"2012659";"1996JJ00";"0"
"136";"T001038";"10000";"T001019";"T001040";"2012659";"1997JJ00";"0"
"137";"T001038";"10000";"T001019";"T001040";"2012659";"1998JJ00";"0"
"138";"T001038";"10000";"T001019";"T001040";"2012659";"1999JJ00";"0"
"139";"T001038";"10000";"T001019";"T001040";"2012659";"2000JJ00";"0"
"140";"T001038";"10000";"T001019";"T001040";"2012659";"2001JJ00";"0"
"141";"T001038";"10000";"T001019";"T001040";"2012659";"2002JJ00";"0"
"142";"T001038";"10000";"T001019";"T001040";"2012659";"2003JJ00";"0"
"143";"T001038";"10000";"T001019";"T001040";"2012659";"2004JJ00";"0"
"144";"T001038";"10000";"T001019";"T001040";"2012659";"2005JJ00";"0"
"145";"T001038";"10000";"T001019";"T001040";"2012659";"2006JJ00";"0"
"146";"T001038";"10000";"T001019";"T001040";"2012659";"2007JJ00";"0"
"147";"T001038";"10000";"T001019";"T001040";"2012659";"2008JJ00";"0"
"148";"T001038";"10000";"T001019";"T001040";"2012659";"2009JJ00";"0"
"149";"T001038";"10000";"T001019";"T001040";"2012659";"2010JJ00";"0"
"150";"T001038";"10000";"T001019";"T001040";"2012659";"2011JJ00";"0"
"151";"T001038";"10000";"T001019";"T001040";"2012659";"2012JJ00";"0"
"152";"T001038";"10000";"T001019";"T001040";"2012659";"2013JJ00";"0"
"153";"T001038";"10000";"T001019";"T001040";"2012659";"2014JJ00";"0"
"154";"T001038";"10000";"T001019";"T001040";"2012659";"2015JJ00";"0"
"155";"T001038";"10000";"T001019";"T001040";"2012659";"2016JJ00";"0"
"156";"T001038";"10000";"T001019";"T001040";"2012659";"2017JJ00";"0"
"157";"T001038";"10000";"T001019";"T001040";"2012659";"2018JJ00";"0"
"158";"T001038";"10000";"T001019";"T001040";"2012659";"2019JJ00";"0"
"159";"T001038";"10000";"T001019";"T001040";"2012659";"2020JJ00";"0"
"160";"T001038";"10000";"T001019";"T001040";"2012659";"2021JJ00";"0"
"161";"T001038";"10000";"T001019";"T001040";"2012659";"2022JJ00";"0"
"162";"T001038";"10000";"T001019";"T001040";"H008519";"1996JJ00";"338255"
"163";"T001038";"10000";"T001019";"T001040";"H008519";"1997JJ00";"355199"
"164";"T001038";"10000";"T001019";"T001040";"H008519";"1998JJ00";"373277"
"165";"T001038";"10000";"T001019";"T001040";"H008519";"1999JJ00";"393937"
"166";"T001038";"10000";"T001019";"T001040";"H008519";"2000JJ00";"413523"
"167";"T001038";"10000";"T001019";"T001040";"H008519";"2001JJ00";"436777"
"168";"T001038";"10000";"T001019";"T001040";"H008519";"2002JJ00";"461916"
"169";"T001038";"10000";"T001019";"T001040";"H008519";"2003JJ00";"486689"
"170";"T001038";"10000";"T001019";"T001040";"H008519";"2004JJ00";"501687"
"171";"T001038";"10000";"T001019";"T001040";"H008519";"2005JJ00";"510467"
"172";"T001038";"10000";"T001019";"T001040";"H008519";"2006JJ00";"516566"
"173";"T001038";"10000";"T001019";"T001040";"H008519";"2007JJ00";"521672"
"174";"T001038";"10000";"T001019";"T001040";"H008519";"2008JJ00";"529875"
"175";"T001038";"10000";"T001019";"T001040";"H008519";"2009JJ00";"543649"
"176";"T001038";"10000";"T001019";"T001040";"H008519";"2010JJ00";"562236"
"177";"T001038";"10000";"T001019";"T001040";"H008519";"2011JJ00";"577242"
"178";"T001038";"10000";"T001019";"T001040";"H008519";"2012JJ00";"590804"
"179";"T001038";"10000";"T001019";"T001040";"H008519";"2013JJ00";"600285"
"180";"T001038";"10000";"T001019";"T001040";"H008519";"2014JJ00";"612627"
"181";"T001038";"10000";"T001019";"T001040";"H008519";"2015JJ00";"626581"
"182";"T001038";"10000";"T001019";"T001040";"H008519";"2016JJ00";"641753"
"183";"T001038";"10000";"T001019";"T001040";"H008519";"2017JJ00";"657748"
"184";"T001038";"10000";"T001019";"T001040";"H008519";"2018JJ00";"673908"
"185";"T001038";"10000";"T001019";"T001040";"H008519";"2019JJ00";"693072"
"186";"T001038";"10000";"T001019";"T001040";"H008519";"2020JJ00";"714732"
"187";"T001038";"10000";"T001019";"T001040";"H008519";"2021JJ00";"731444"
"188";"T001038";"10000";"T001019";"T001040";"H008519";"2022JJ00";"749780"
"189";"T001038";"10000";"T001019";"T001040";"H008520";"1996JJ00";"438677"
"190";"T001038";"10000";"T001019";"T001040";"H008520";"1997JJ00";"449082"
"191";"T001038";"10000";"T001019";"T001040";"H008520";"1998JJ00";"461598"
"192";"T001038";"10000";"T001019";"T001040";"H008520";"1999JJ00";"480323"
"193";"T001038";"10000";"T001019";"T001040";"H008520";"2000JJ00";"498313"
"194";"T001038";"10000";"T001019";"T001040";"H008520";"2001JJ00";"519806"
"195";"T001038";"10000";"T001019";"T001040";"H008520";"2002JJ00";"539280"
"196";"T001038";"10000";"T001019";"T001040";"H008520";"2003JJ00";"554106"
"197";"T001038";"10000";"T001019";"T001040";"H008520";"2004JJ00";"564056"
"198";"T001038";"10000";"T001019";"T001040";"H008520";"2005JJ00";"571476"
"199";"T001038";"10000";"T001019";"T001040";"H008520";"2006JJ00";"576249"
"200";"T001038";"10000";"T001019";"T001040";"H008520";"2007JJ00";"580877"
"201";"T001038";"10000";"T001019";"T001040";"H008520";"2008JJ00";"588027"
"202";"T001038";"10000";"T001019";"T001040";"H008520";"2009JJ00";"598936"
"203";"T001038";"10000";"T001019";"T001040";"H008520";"2010JJ00";"610808"
"204";"T001038";"10000";"T001019";"T001040";"H008520";"2011JJ00";"621336"
"205";"T001038";"10000";"T001019";"T001040";"H008520";"2012JJ00";"630610"
"206";"T001038";"10000";"T001019";"T001040";"H008520";"2013JJ00";"637296"
"207";"T001038";"10000";"T001019";"T001040";"H008520";"2014JJ00";"643290"
"208";"T001038";"10000";"T001019";"T001040";"H008520";"2015JJ00";"651115"
"209";"T001038";"10000";"T001019";"T001040";"H008520";"2016JJ00";"659900"
"210";"T001038";"10000";"T001019";"T001040";"H008520";"2017JJ00";"669307"
"211";"T001038";"10000";"T001019";"T001040";"H008520";"2018JJ00";"683250"
"212";"T001038";"10000";"T001019";"T001040";"H008520";"2019JJ00";"700155"
"213";"T001038";"10000";"T001019";"T001040";"H008520";"2020JJ00";"719601"
"214";"T001038";"10000";"T001019";"T001040";"H008520";"2021JJ00";"733401"
"215";"T001038";"10000";"T001019";"T001040";"H008520";"2022JJ00";"751689"
"216";"T001038";"10000";"T001019";"T001040";"H008524";"1996JJ00";"572914"
"217";"T001038";"10000";"T001019";"T001040";"H008524";"1997JJ00";"586613"
"218";"T001038";"10000";"T001019";"T001040";"H008524";"1998JJ00";"603031"
"219";"T001038";"10000";"T001019";"T001040";"H008524";"1999JJ00";"622201"
"220";"T001038";"10000";"T001019";"T001040";"H008524";"2000JJ00";"637918"
"221";"T001038";"10000";"T001019";"T001040";"H008524";"2001JJ00";"657558"
"222";"T001038";"10000";"T001019";"T001040";"H008524";"2002JJ00";"677504"
"223";"T001038";"10000";"T001019";"T001040";"H008524";"2003JJ00";"690517"
"224";"T001038";"10000";"T001019";"T001040";"H008524";"2004JJ00";"699469"
"225";"T001038";"10000";"T001019";"T001040";"H008524";"2005JJ00";"705035"
"226";"T001038";"10000";"T001019";"T001040";"H008524";"2006JJ00";"707134"
"227";"T001038";"10000";"T001019";"T001040";"H008524";"2007JJ00";"708935"
"228";"T001038";"10000";"T001019";"T001040";"H008524";"2008JJ00";"714470"
"229";"T001038";"10000";"T001019";"T001040";"H008524";"2009JJ00";"726646"
"230";"T001038";"10000";"T001019";"T001040";"H008524";"2010JJ00";"737866"
"231";"T001038";"10000";"T001019";"T001040";"H008524";"2011JJ00";"747034"
"232";"T001038";"10000";"T001019";"T001040";"H008524";"2012JJ00";"757316"
"233";"T001038";"10000";"T001019";"T001040";"H008524";"2013JJ00";"765621"
"234";"T001038";"10000";"T001019";"T001040";"H008524";"2014JJ00";"775520"
"235";"T001038";"10000";"T001019";"T001040";"H008524";"2015JJ00";"793621"
"236";"T001038";"10000";"T001019";"T001040";"H008524";"2016JJ00";"826211"
"237";"T001038";"10000";"T001019";"T001040";"H008524";"2017JJ00";"874846"
"238";"T001038";"10000";"T001019";"T001040";"H008524";"2018JJ00";"909910"
"239";"T001038";"10000";"T001019";"T001040";"H008524";"2019JJ00";"937304"
"240";"T001038";"10000";"T001019";"T001040";"H008524";"2020JJ00";"969980"
"241";"T001038";"10000";"T001019";"T001040";"H008524";"2021JJ00";"985977"
"242";"T001038";"10000";"T001019";"T001040";"H008524";"2022JJ00";"1023304"
"243";"T001038";"10000";"T001019";"T001040";"H007933";"1996JJ00";"1134900"
"244";"T001038";"10000";"T001019";"T001040";"H007933";"1997JJ00";"1149025"
"245";"T001038";"10000";"T001019";"T001040";"H007933";"1998JJ00";"1167519"
"246";"T001038";"10000";"T001019";"T001040";"H007933";"1999JJ00";"1187061"
"247";"T001038";"10000";"T001019";"T001040";"H007933";"2000JJ00";"1209012"
"248";"T001038";"10000";"T001019";"T001040";"H007933";"2001JJ00";"1238682"
"249";"T001038";"10000";"T001019";"T001040";"H007933";"2002JJ00";"1267861"
"250";"T001038";"10000";"T001019";"T001040";"H007933";"2003JJ00";"1288479"
"251";"T001038";"10000";"T001019";"T001040";"H007933";"2004JJ00";"1303662"
"252";"T001038";"10000";"T001019";"T001040";"H007933";"2005JJ00";"1316219"
"253";"T001038";"10000";"T001019";"T001040";"H007933";"2006JJ00";"1328064"
"254";"T001038";"10000";"T001019";"T001040";"H007933";"2007JJ00";"1339242"
"255";"T001038";"10000";"T001019";"T001040";"H007933";"2008JJ00";"1363223"
"256";"T001038";"10000";"T001019";"T001040";"H007933";"2009JJ00";"1398450"
"257";"T001038";"10000";"T001019";"T001040";"H007933";"2010JJ00";"1428461"
"258";"T001038";"10000";"T001019";"T001040";"H007933";"2011JJ00";"1460931"
"259";"T001038";"10000";"T001019";"T001040";"H007933";"2012JJ00";"1494803"
"260";"T001038";"10000";"T001019";"T001040";"H007933";"2013JJ00";"1519080"
"261";"T001038";"10000";"T001019";"T001040";"H007933";"2014JJ00";"1542277"
"262";"T001038";"10000";"T001019";"T001040";"H007933";"2015JJ00";"1572649"
"263";"T001038";"10000";"T001019";"T001040";"H007933";"2016JJ00";"1602379"
"264";"T001038";"10000";"T001019";"T001040";"H007933";"2017JJ00";"1638193"
"265";"T001038";"10000";"T001019";"T001040";"H007933";"2018JJ00";"1681584"
"266";"T001038";"10000";"T001019";"T001040";"H007933";"2019JJ00";"1731779"
"267";"T001038";"10000";"T001019";"T001040";"H007933";"2020JJ00";"1791850"
