fid,geom,bevolkingsdichtheid_inwoners_per_km2,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaar,percentage_personen_15_tot_25_jaar,percentage_personen_25_tot_45_jaar,percentage_personen_45_tot_65_jaar,percentage_personen_65_jaar_en_ouder,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,geboorte_totaal,geboortes_per_1000_inwoners,sterfte_totaal,sterfte_relatief,aantal_huishoudens,percentage_eenpersoonshuishoudens,percentage_huishoudens_zonder_kinderen,percentage_huishoudens_met_kinderen,gemiddelde_huishoudsgrootte,percentage_westerse_migratieachtergrond,percentage_niet_westerse_migratieachtergrond,percentage_uit_marokko,percentage_uit_nederlandse_antillen_en_aruba,percentage_uit_suriname,percentage_uit_turkije,percentage_overige_nietwestersemigratieachtergrond,aantal_bedrijven_landbouw_bosbouw_visserij,aantal_bedrijven_nijverheid_energie,aantal_bedrijven_handel_en_horeca,aantal_bedrijven_vervoer_informatie_communicatie,aantal_bedrijven_financieel_onroerend_goed,aantal_bedrijven_zakelijke_dienstverlening,aantal_bedrijven_cultuur_recreatie_overige,aantal_bedrijfsvestigingen,woningvoorraad,gemiddelde_woningwaarde,percentage_eengezinswoning,percentage_meergezinswoning,percentage_bewoond,percentage_koopwoningen,percentage_huurwoningen,perc_huurwoningen_in_bezit_woningcorporaties,perc_huurwoningen_in_bezit_overige_verhuurders,percentage_woningen_met_eigendom_onbekend,percentage_bouwjaarklasse_tot_2000,percentage_bouwjaarklasse_vanaf_2000,percentage_leegstand_woningen,gemiddeld_gasverbruik_totaal,gemiddeld_gasverbruik_appartement,gemiddeld_gasverbruik_tussenwoning,gemiddeld_gasverbruik_hoekwoning,gemiddeld_gasverbruik_2_onder_1_kap_woning,gemiddeld_gasverbruik_vrijstaande_woning,gemiddeld_gasverbruik_huurwoning,gemiddeld_gasverbruikkoopwoning,gemiddeld_elektriciteitsverbruik_totaal,gemiddeld_elektriciteitsverbruik_appartement,gemiddeld_elektriciteitsverbruik_tussenwoning,gemiddeld_elektriciteitsverbruik_hoekwoning,gem_elektriciteitsverbruik_2_onder_1_kap_woning,gem_elektriciteitsverbruik_vrijstaande_woning,gemiddeld_elektriciteitsverbruik_huurwoning,gemiddeld_elektriciteitsverbruikkoopwoning,netto_arbeidsparticipatie,percentage_werknemers,percentage_zelfstandigen,aantal_inkomensontvangers,gemiddeld_inkomen_per_inkomensontvanger,gemiddeld_inkomen_per_inwoner,percentage_personen_met_laag_inkomen,percentage_personen_met_hoog_inkomen,percentage_huishoudens_met_laag_inkomen,percentage_huishoudens_met_hoog_inkomen,percentage_huishoudens_onder_of_rond_sociaal_minimum,percentage_huishoudens_met_lage_koopkracht,aantal_personen_met_een_ao_uitkering_totaal,aantal_personen_met_een_ww_uitkering_totaal,aantal_personen_met_een_algemene_bijstandsuitkering_totaal,aantal_personen_met_een_aow_uitkering_totaal,gemiddeld_gestandaardiseerd_inkomen_van_huishoudens,huishoudens_tot_110_percent_van_sociaal_minimum,huishoudens_tot_120_percent_van_sociaal_minimum,mediaan_vermogen_van_particuliere_huish,aantal_jongeren_met_jeugdzorg_in_natura,percentage_jongeren_met_jeugdzorg_in_natura,aantal_Wmo_cliënten,aantal_Wmo_cliënten_per_1000_inwoners,personenautos_totaal,personenautos_per_huishouden,personenautos_per_km2,motortweewielers_totaal,aantal_personenautos_met_brandstof_benzine,aantal_personenautos_met_overige_brandstof,ziekenhuis_incl_buitenpolikliniek_gem_afst_in_km,ziekenhuis_excl_buitenpolikliniek_gem_afst_in_km,winkels_ov_dagelijkse_levensm_gem_afst_in_km,stadsdeel,huishoudens_met_kinderen,percentage_migratieachtergrond,migratieachtergrond,mensen_van_nederland,perc_mensen_van_nederland,westerse_migratieachtergrond,niet_westerse_migratieachtergrond
4159,GP,17048.0,1035.0,610.0,420.0,4.0,9.0,56.0,24.0,7.0,77.0,15.0,7.0,1.0,5.0,9.0,5.0,5.0,755.0,70.0,24.0,6.0,1.4,33.0,17.0,0.0,1.0,2.0,1.0,12.0,0.0,10.0,195.0,35.0,35.0,95.0,85.0,455.0,742.0,401.0,4.0,96.0,82.0,20.0,80.0,7.0,73.0,0.0,96.0,4.0,18.0,920.0,890.0,1650.0,0.0,0.0,0.0,860.0,1120.0,1950.0,1920.0,2830.0,0.0,0.0,0.0,1830.0,2370.0,77.0,70.0,30.0,900.0,0.0,0.0,33.0,28.0,55.0,12.0,15.0,15.0,30.0,20.0,20.0,60.0,0.0,17.2,17.7,7.1,0.0,0.0,45.0,44.0,130.0,0.2,2108.0,25.0,100.0,25.0,1.1,2.8,0.0,Centrum,45,50.0,517,517,50.0,341,175
4160,GP,7989.0,705.0,400.0,300.0,4.0,17.0,51.0,20.0,8.0,80.0,11.0,7.0,1.0,5.0,11.0,0.0,1.0,505.0,69.0,23.0,8.0,1.4,36.0,16.0,1.0,1.0,2.0,1.0,11.0,0.0,10.0,140.0,35.0,60.0,100.0,125.0,470.0,515.0,419.0,5.0,95.0,79.0,11.0,88.0,28.0,60.0,1.0,87.0,13.0,21.0,900.0,880.0,1260.0,0.0,0.0,0.0,910.0,990.0,1970.0,1980.0,1970.0,0.0,0.0,0.0,1920.0,2340.0,76.0,72.0,28.0,600.0,0.0,0.0,41.0,23.0,61.0,12.0,15.0,17.0,20.0,10.0,20.0,50.0,0.0,19.4,22.1,2.1,0.0,0.0,10.0,14.0,100.0,0.2,1111.0,25.0,75.0,20.0,0.8,2.8,0.0,Centrum,40,52.0,366,338,48.0,253,112
4161,GP,25257.0,1570.0,860.0,710.0,6.0,14.0,48.0,21.0,11.0,75.0,16.0,7.0,1.0,10.0,8.0,0.0,2.0,1105.0,69.0,22.0,9.0,1.4,33.0,19.0,1.0,1.0,2.0,1.0,13.0,0.0,20.0,190.0,50.0,45.0,145.0,190.0,645.0,1001.0,436.0,4.0,96.0,82.0,18.0,81.0,9.0,72.0,1.0,96.0,4.0,18.0,1030.0,980.0,2110.0,0.0,0.0,0.0,980.0,1140.0,1960.0,1860.0,4230.0,0.0,0.0,0.0,1830.0,2290.0,74.0,71.0,29.0,1300.0,0.0,0.0,40.0,21.0,59.0,12.0,15.0,15.0,20.0,20.0,20.0,150.0,0.0,17.3,19.4,2.5,15.0,7.0,45.0,29.0,255.0,0.2,4124.0,40.0,195.0,60.0,0.9,2.5,0.1,Centrum,99,52.0,816,753,48.0,518,298
4162,GP,6584.0,350.0,180.0,170.0,6.0,16.0,52.0,18.0,7.0,76.0,18.0,5.0,1.0,0.0,6.0,0.0,3.0,235.0,63.0,29.0,8.0,1.5,35.0,10.0,0.0,1.0,1.0,1.0,8.0,0.0,10.0,95.0,35.0,35.0,55.0,60.0,285.0,260.0,577.0,9.0,91.0,70.0,29.0,70.0,5.0,65.0,1.0,98.0,2.0,30.0,1120.0,1080.0,1550.0,0.0,0.0,0.0,1140.0,1070.0,2250.0,2110.0,3760.0,0.0,0.0,0.0,2260.0,2150.0,78.0,75.0,25.0,300.0,0.0,0.0,35.0,37.0,47.0,20.0,11.0,10.0,0.0,10.0,0.0,20.0,0.0,12.8,12.8,7.5,0.0,0.0,0.0,0.0,90.0,0.4,1683.0,15.0,65.0,25.0,0.7,2.7,0.1,Centrum,18,45.0,157,192,55.0,122,35
4163,GP,7428.0,625.0,345.0,280.0,6.0,13.0,44.0,25.0,13.0,72.0,20.0,6.0,2.0,0.0,5.0,0.0,2.0,435.0,70.0,19.0,11.0,1.4,28.0,15.0,2.0,1.0,2.0,1.0,10.0,0.0,0.0,65.0,20.0,10.0,80.0,60.0,240.0,399.0,532.0,7.0,93.0,85.0,20.0,79.0,37.0,42.0,1.0,100.0,0.0,15.0,1040.0,990.0,1640.0,0.0,0.0,0.0,950.0,1300.0,2040.0,1970.0,2850.0,0.0,0.0,0.0,1850.0,2640.0,73.0,73.0,27.0,500.0,0.0,0.0,39.0,27.0,58.0,14.0,15.0,16.0,10.0,10.0,20.0,70.0,0.0,17.6,20.3,5.4,0.0,0.0,20.0,32.0,130.0,0.3,1547.0,20.0,105.0,25.0,0.8,2.5,0.1,Centrum,47,43.0,268,356,57.0,175,93
4165,GP,10874.0,600.0,330.0,265.0,4.0,14.0,56.0,20.0,6.0,80.0,13.0,6.0,1.0,0.0,7.0,0.0,2.0,435.0,71.0,24.0,6.0,1.4,39.0,16.0,1.0,1.0,2.0,1.0,11.0,0.0,10.0,110.0,35.0,30.0,85.0,50.0,315.0,398.0,416.0,3.0,97.0,84.0,28.0,71.0,3.0,68.0,1.0,99.0,1.0,16.0,890.0,870.0,0.0,0.0,0.0,0.0,920.0,810.0,1890.0,1870.0,0.0,0.0,0.0,0.0,1810.0,2040.0,77.0,73.0,27.0,500.0,0.0,0.0,34.0,28.0,54.0,14.0,12.0,13.0,10.0,20.0,10.0,30.0,0.0,13.8,14.6,5.6,0.0,0.0,0.0,0.0,125.0,0.3,2240.0,15.0,85.0,40.0,0.9,3.4,0.1,Centrum,26,55.0,330,270,45.0,234,96
4166,GP,8443.0,465.0,265.0,195.0,4.0,17.0,56.0,19.0,5.0,82.0,12.0,5.0,1.0,0.0,4.0,0.0,2.0,335.0,68.0,26.0,6.0,1.4,39.0,21.0,1.0,0.0,2.0,1.0,17.0,0.0,5.0,120.0,25.0,15.0,60.0,35.0,260.0,330.0,401.0,8.0,92.0,79.0,21.0,79.0,10.0,69.0,0.0,97.0,3.0,21.0,980.0,890.0,0.0,0.0,0.0,0.0,900.0,980.0,2180.0,2070.0,0.0,0.0,0.0,0.0,2090.0,2210.0,77.0,76.0,24.0,400.0,0.0,0.0,34.0,26.0,62.0,14.0,12.0,14.0,10.0,10.0,10.0,20.0,0.0,14.7,16.9,1.8,0.0,0.0,0.0,0.0,75.0,0.2,1377.0,5.0,60.0,20.0,0.9,3.3,0.0,Centrum,20,60.0,279,186,40.0,181,97
4167,GP,16036.0,805.0,430.0,370.0,5.0,13.0,54.0,18.0,9.0,75.0,19.0,5.0,1.0,5.0,6.0,0.0,2.0,560.0,67.0,26.0,7.0,1.4,39.0,15.0,1.0,1.0,2.0,1.0,11.0,0.0,15.0,120.0,25.0,45.0,95.0,80.0,380.0,540.0,464.0,6.0,94.0,83.0,29.0,71.0,9.0,62.0,1.0,100.0,0.0,17.0,1220.0,1170.0,2100.0,0.0,0.0,0.0,1150.0,1430.0,2490.0,2430.0,3400.0,0.0,0.0,0.0,2290.0,2950.0,75.0,71.0,29.0,700.0,0.0,0.0,33.0,28.0,54.0,14.0,13.0,13.0,10.0,20.0,10.0,60.0,0.0,14.4,15.7,4.0,0.0,0.0,10.0,12.0,180.0,0.3,3597.0,25.0,120.0,60.0,0.6,3.4,0.0,Centrum,39,54.0,434,370,46.0,313,120
4168,GP,9797.0,825.0,470.0,355.0,7.0,13.0,57.0,17.0,5.0,77.0,18.0,4.0,1.0,5.0,7.0,0.0,0.0,550.0,62.0,30.0,8.0,1.5,38.0,17.0,1.0,1.0,2.0,1.0,12.0,0.0,10.0,200.0,25.0,25.0,90.0,90.0,435.0,527.0,419.0,8.0,92.0,84.0,24.0,76.0,6.0,69.0,1.0,97.0,3.0,16.0,940.0,880.0,1530.0,0.0,0.0,0.0,880.0,970.0,2060.0,1980.0,2920.0,0.0,0.0,0.0,1870.0,2350.0,79.0,75.0,25.0,700.0,0.0,0.0,33.0,28.0,52.0,15.0,9.0,11.0,10.0,20.0,10.0,40.0,0.0,10.1,11.2,4.9,0.0,0.0,10.0,12.0,150.0,0.3,1757.0,35.0,105.0,40.0,0.6,3.2,0.0,Centrum,44,55.0,453,371,45.0,313,140
4169,GP,12269.0,730.0,395.0,330.0,7.0,15.0,48.0,22.0,8.0,78.0,16.0,5.0,1.0,0.0,4.0,0.0,3.0,520.0,72.0,19.0,9.0,1.4,38.0,15.0,1.0,1.0,1.0,1.0,12.0,0.0,15.0,115.0,25.0,25.0,70.0,65.0,315.0,550.0,521.0,3.0,97.0,78.0,16.0,84.0,26.0,58.0,0.0,98.0,2.0,22.0,980.0,960.0,1780.0,0.0,0.0,0.0,970.0,1000.0,1880.0,1880.0,2170.0,0.0,0.0,0.0,1840.0,1980.0,77.0,74.0,26.0,600.0,0.0,0.0,35.0,29.0,57.0,15.0,13.0,14.0,10.0,10.0,10.0,50.0,0.0,15.1,18.1,5.6,10.0,8.9,10.0,14.0,125.0,0.2,2062.0,10.0,100.0,25.0,0.2,3.0,0.1,Centrum,46,53.0,386,343,47.0,277,109
