dogs_amount,buurtcode,aantal_mensen_met_een_uitkering_Participatiewet,percentage_mensen_met_een_uitkering_krachtens_de_Participatiewet,bevolking_totaal,mannen_aantal,vrouwen_aantal,jeugd_0_17_jarigen,jongeren_18_26_jaar,volwassenen_27_64_jaar,senioren_65_jaar_en_ouder,woonruimten,zelfstandige_woningen_eigenaar-bewoner,zelfstandige_woningen_in_corporatief_bezit,gemiddeld_huishoudensinkomen,percentage_minimahuishoudens,aangiften_diefstal_af_uit_woning,aangiften_diefstal_fiets,aangiften_diefstal_auto,aangiften_diefstal_af_uit_auto,aangiften_diefstal_af_uit_bedrijf,aangiften_van_vernieling,aangiften_van_mishandeling,buurt_name,politie_report_aantal
37,BU000000,141,3.5,4404.0,2365.0,2039.0,106.0,2469.0,1582.0,244.0,2089.0,585.0,409.0,30.0,17.1,25.0,176.0,1.0,8.0,17.0,25.0,35.0,Binnenstad-Noord,287.0
51,BU000001,224,3.7,6626.0,3583.0,3043.0,203.0,3779.0,2211.0,429.0,3405.0,930.0,980.0,30.7,21.3,42.0,306.0,3.0,30.0,28.0,96.0,196.0,Binnenstad-Zuid,701.0
48,BU000002,215,6.0,4017.0,2126.0,1891.0,140.0,2058.0,1516.0,301.0,2230.0,632.0,867.0,27.8,20.4,17.0,56.0,1.0,3.0,2.0,16.0,8.0,Binnenstad-Oost,103.0
21,BU000003,54,3.6,1708.0,943.0,765.0,49.0,859.0,650.0,150.0,983.0,205.0,156.0,29.7,17.9,9.0,13.0,0.0,4.0,2.0,8.0,5.0,Binnenstad-West,41.0
108,BU000005,213,4.5,5452.0,2769.0,2683.0,325.0,2657.0,1980.0,489.0,2689.0,900.0,925.0,32.1,20.3,20.0,68.0,2.0,9.0,16.0,24.0,13.0,Hortusbuurt-Ebbingekwartier,152.0
2,BU000008,0,0.0,342.0,178.0,164.0,5.0,203.0,77.0,57.0,74.0,51.0,0.0,36.8,0.0,2.0,17.0,0.0,1.0,0.0,3.0,2.0,Stationsgebied,25.0
33,BU000100,17,1.6,1416.0,713.0,703.0,170.0,416.0,607.0,223.0,545.0,349.0,84.0,43.4,7.2,3.0,18.0,0.0,13.0,6.0,12.0,6.0,De Meeuwen,58.0
124,BU000101,229,5.1,5191.0,2605.0,2586.0,319.0,2060.0,2348.0,463.0,2811.0,1076.0,763.0,30.9,18.1,18.0,47.0,0.0,14.0,1.0,21.0,5.0,Oosterpoort,106.0
31,BU000102,35,2.5,1632.0,790.0,842.0,143.0,679.0,705.0,105.0,777.0,434.0,53.0,39.6,12.5,7.0,23.0,0.0,4.0,3.0,12.0,9.0,Herewegbuurt,58.0
76,BU000103,185,4.9,4540.0,2212.0,2328.0,247.0,1775.0,1938.0,580.0,2515.0,959.0,932.0,31.0,16.1,8.0,41.0,0.0,12.0,0.0,13.0,4.0,Rivierenbuurt,78.0
34,BU000104,64,3.5,2138.0,1072.0,1066.0,158.0,790.0,1027.0,163.0,1218.0,500.0,311.0,31.5,11.3,12.0,23.0,0.0,5.0,1.0,6.0,3.0,Grunobuurt,50.0
17,BU000105,50,6.2,882.0,465.0,417.0,39.0,388.0,410.0,45.0,567.0,178.0,171.0,27.6,24.0,5.0,34.0,0.0,3.0,1.0,7.0,3.0,Badstratenbuurt,53.0
35,BU000106,60,2.1,3159.0,1549.0,1610.0,154.0,1833.0,1045.0,126.0,1473.0,803.0,232.0,30.1,10.9,16.0,119.0,1.0,10.0,2.0,23.0,12.0,Zeeheldenbuurt,183.0
27,BU000107,16,1.5,1242.0,609.0,633.0,112.0,463.0,551.0,116.0,630.0,412.0,43.0,38.1,6.4,7.0,15.0,0.0,1.0,3.0,10.0,3.0,Laanhuizen,39.0
1,BU000108,0,0.0,28.0,16.0,12.0,5.0,1.0,19.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadspark,0.0
80,BU000200,142,6.6,2802.0,1369.0,1433.0,367.0,771.0,1307.0,356.0,1377.0,630.0,454.0,38.4,17.4,4.0,23.0,0.0,3.0,1.0,13.0,2.0,Oranjebuurt,46.0
