"Buurten";"aantal mensen met een uitkering Participatiewet (Pw)|2018";"percentage mensen met een uitkering krachtens de Participatiewet|2018";"bevolking totaal|2018";"percentage minimahuishoudens|2018";"aantal minimahuishoudens|2018";"gemiddeld inkomen per persoon met inkomen|2018";"gemiddeld huishoudensinkomen|2018";"aangiften diefstal af/uit woning|2018";"aangiften diefstal auto|2018";"aangiften diefstal fiets|2018";"aangiften diefstal af/uit bedrijf|2018";"aangiften diefstal af/uit auto|2018";"aangiften van vernieling|2018";"aangiften van mishandeling|2018"
"0000 Binnenstad-Noord";141;3,5;4404;17,1;290;22,5;30,0;25;1;176;17;8;25;35
"0001 Binnenstad-Zuid";224;3,7;6626;21,3;530;22,2;30,7;42;3;306;28;30;96;196
"0002 Binnenstad-Oost";215;6,0;4017;20,4;350;22,1;27,8;17;1;56;2;3;16;8
"0003 Binnenstad-West";54;3,6;1708;17,9;140;24,6;29,7;9;0;13;2;4;8;5
"0004 Noorderplantsoen";"";"";11;"";"";"";"";0;0;0;0;0;0;0
"0005 Hortusbuurt-Ebbingekwartier";213;4,5;5452;20,3;450;24,8;32,1;20;2;68;16;9;24;13
"0007 UMCG";"";"";"";"";"";"";"";0;0;0;0;0;0;0
"0008 Stationsgebied";"X";"";342;"";"";27,3;36,8;2;0;17;0;1;3;2
"0100 De Meeuwen";17;1,6;1416;7,2;40;37,5;43,4;3;0;18;6;13;12;6
"0101 Oosterpoort";229;5,1;5191;18,1;450;25,5;30,9;18;0;47;1;14;21;5
"0102 Herewegbuurt";35;2,5;1632;12,5;80;31,3;39,6;7;0;23;3;4;12;9
"0103 Rivierenbuurt";185;4,9;4540;16,1;350;26,3;31,0;8;0;41;0;12;13;4
"0104 Grunobuurt";64;3,5;2138;11,3;110;26,6;31,5;12;0;23;1;5;6;3
"0105 Badstratenbuurt";50;6,2;882;24,0;100;23,6;27,6;5;0;34;1;3;7;3
"0106 Zeeheldenbuurt";60;2,1;3159;10,9;130;21,8;30,1;16;1;119;2;10;23;12
"0107 Laanhuizen";16;1,5;1242;6,4;30;28,6;38,1;7;0;15;3;1;10;3
"0108 Stadspark";"X";"";28;"";"";"";"";0;0;0;0;0;0;0
"0109 Martini Trade Park";"X";"";"";"";"";"";"";0;0;0;0;0;0;0
"0200 Oranjebuurt";142;6,6;2802;17,4;230;31,2;38,4;4;0;23;1;3;13;2
"0201 Noorderplantsoenbuurt";106;3,2;3868;13,1;220;28,7;34,7;6;0;35;1;5;20;2
"0202 Schildersbuurt";92;1,8;5764;11,4;240;26,3;37,1;36;1;52;7;15;34;18
"0203 Kostverloren";181;9,8;2246;26,6;320;24,2;28,1;7;0;6;4;2;9;6
"0300 De Hoogte";516;16,0;4020;33,4;700;21,9;25,3;11;0;36;2;11;30;24
"0301 Indische buurt";913;13,2;8440;31,7;1300;21,5;25,6;24;1;93;5;15;37;24
"0302 Professorenbuurt";153;2,8;6149;13,7;330;24,4;33,0;21;2;98;2;13;23;17
"0400 Gorechtbuurt";256;6,2;4925;19,6;450;25,6;30,7;8;0;146;4;10;32;18
