buurtcode,buurtnaam,wijkcode,gemeentecode,gemeentenaam,indelingswijziging_wijken_en_buurten,water,meest_voorkomende_postcode,dekkingspercentage,omgevingsadressendichtheid,stedelijkheid_adressen_per_km2,bevolkingsdichtheid_inwoners_per_km2,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaar,percentage_personen_15_tot_25_jaar,percentage_personen_25_tot_45_jaar,percentage_personen_45_tot_65_jaar,percentage_personen_65_jaar_en_ouder,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,aantal_huishoudens,percentage_eenpersoonshuishoudens,percentage_huishoudens_zonder_kinderen,percentage_huishoudens_met_kinderen,gemiddelde_huishoudsgrootte,percentage_westerse_migratieachtergrond,percentage_niet_westerse_migratieachtergrond,percentage_uit_marokko,percentage_uit_nederlandse_antillen_en_aruba,percentage_uit_suriname,percentage_uit_turkije,percentage_overige_nietwestersemigratieachtergrond,oppervlakte_totaal_in_ha,oppervlakte_land_in_ha,oppervlakte_water_in_ha,jrstatcode,jaar
BU00140000,Binnenstad-Noord,WK001400,GM0014,Groningen,1,NEE,9712,1,6712,1,12085,4480,2335,2145,2,49,33,10,6,88,8,4,1,3635,82,15,3,1.2,20,11,0,1,1,1,8,39,37,2,2022BU00140000,2022
BU00141406,De Wierden,WK001414,GM0014,Groningen,1,NEE,9613,1,170,5,-99999999,0,0,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999.0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,59,52,7,2022BU00141406,2022
BU00140103,Rivierenbuurt,WK001401,GM0014,Groningen,1,NEE,9725,1,4220,1,8294,4590,2250,2335,5,30,37,14,13,80,12,6,3,3330,71,22,7,1.4,16,10,0,1,1,0,7,56,55,1,2022BU00140103,2022
BU00141003,Zernike Campus,WK001410,GM0014,Groningen,1,NEE,9747,1,972,4,-99999999,5,0,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,5,-99999999,-99999999,-99999999,1.5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,202,187,15,2022BU00141003,2022
BU00141701,Haren-Zuidwest,WK001417,GM0014,Groningen,1,NEE,9752,1,951,4,2607,3660,1685,1980,16,8,16,24,37,41,40,9,11,1745,42,32,27,2.0,9,5,0,1,0,0,4,141,140,1,2022BU00141701,2022
BU00140704,Piccardthof,WK001407,GM0014,Groningen,1,NEE,9728,1,541,4,1332,1190,595,590,21,14,12,38,15,51,43,3,2,425,12,36,52,2.8,8,4,0,1,1,0,3,118,89,29,2022BU00140704,2022
BU00141301,Engelbert,WK001413,GM0014,Groningen,1,NEE,9723,1,101,5,276,900,470,435,16,12,21,32,19,51,40,6,3,375,25,32,42,2.4,7,4,0,1,1,0,3,336,327,8,2022BU00141301,2022
BU00141205,Hunzepark,WK001412,GM0014,Groningen,1,NEE,9735,1,1169,3,-99999999,0,0,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,5,-99999999,-99999999,-99999999,1.0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,7,7,0,2022BU00141205,2022
BU00140812,De Kring,WK001408,GM0014,Groningen,1,NEE,9727,1,525,4,3557,330,160,170,23,12,27,25,12,74,15,7,5,150,38,21,42,2.3,3,2,0,1,0,0,1,9,9,0,2022BU00140812,2022
BU00141504,Sint Annen,WK001415,GM0014,Groningen,1,NEE,9796,1,19,5,41,190,100,85,16,14,18,31,21,44,47,6,2,75,26,39,34,2.5,4,3,-99999999,-99999999,-99999999,-99999999,-99999999,461,460,1,2022BU00141504,2022
