buurtcode,buurtnaam,wijkcode,inwoners_per_km2,perc_0_15_jaar,perc_15_25_jaar,perc_25_45_jaar,perc_45_65_jaar,perc_65_en_ouder,perc_ongehuwd,perc_gehuwd,perc_gescheid,perc_verweduwd,aantal_huishoudens,perc_eenpersoonshuishoudens,perc_huishoudens_z_kind,perc_huishoudens_met_kind,gemiddelde_huishoudsgrootte,perc_west_migratie,perc_niet_west_migratie,percentage_uit_marokko,perc_uit_antillen_en_aruba,percentage_uit_suriname,percentage_uit_turkije,perc_overige_nietwestersemigratie,bedrijven_landbouw,gemid_won_waarde,perc_eengezinswoning,perc_meergezinswoning,perc_koopwoningen,perc_huurwoningen,perc_huurwoning_van_corporaties,perc_huurwoning_van_verhuurder,perc_werknemers,perc_zelfstandigen,gemiddeld_inkomen_per_inwoner,perc_huishoud_laag_inkomen,perc_huishoud_hoog_inkomen,personen_met_bijstandsuitkering,gewelds_misdrijven,autos_totaal,autos_per_huishouden,motortweewielers,bevolking_totaal,percentage_minimahuishoudens,aantal_minimahuishoudens,gemiddeld_huishoudensinkomen,diefstal_af_uit_woning,diefstal_auto,diefstal_fiets,diefstal_af_uit_bedrijf,diefstal_af_uit_auto,aangiften_van_vernieling,aangiften_van_mishandeling,dogs_amount,politie_report_aantal
BU000000,Binnenstad-Noord,WK001400,11891.0,2.0,46.0,35.0,11.0,6.0,86.0,8.0,4.0,1.0,3595.0,83.0,15.0,2.0,1.2,16.0,10.0,0.0,1.0,1.0,1.0,7.0,0.0,174.0,15.0,85.0,12.0,82.0,19.0,63.0,87.0,13.0,20.0,82.0,5.0,130.0,22.0,710.0,0.2,80.0,4404.0,17.1,290,30.0,25.0,1.0,176.0,17.0,8.0,25.0,35.0,37,287.0
BU000001,Binnenstad-Zuid,WK001400,12011.0,2.0,47.0,33.0,11.0,6.0,87.0,7.0,4.0,1.0,5320.0,83.0,14.0,3.0,1.2,16.0,10.0,0.0,2.0,1.0,1.0,7.0,0.0,169.0,10.0,90.0,14.0,81.0,29.0,51.0,87.0,13.0,20.0,84.0,5.0,250.0,41.0,1810.0,0.3,175.0,6626.0,21.3,530,30.7,42.0,3.0,306.0,28.0,30.0,96.0,196.0,51,701.0
BU000002,Binnenstad-Oost,WK001400,14979.0,3.0,40.0,36.0,14.0,7.0,84.0,10.0,5.0,1.0,3160.0,78.0,18.0,4.0,1.3,17.0,13.0,0.0,1.0,1.0,0.0,10.0,0.0,147.0,17.0,83.0,15.0,81.0,39.0,42.0,88.0,12.0,20.0,81.0,4.0,220.0,5.0,800.0,0.3,70.0,4017.0,20.4,350,27.8,17.0,1.0,56.0,2.0,3.0,16.0,8.0,48,103.0
BU000003,Binnenstad-West,WK001400,17507.0,2.0,38.0,40.0,11.0,9.0,84.0,10.0,4.0,2.0,1395.0,81.0,15.0,3.0,1.2,19.0,10.0,0.0,1.0,1.0,1.0,7.0,0.0,161.0,13.0,87.0,15.0,83.0,18.0,65.0,88.0,12.0,23.0,78.0,5.0,60.0,10.0,385.0,0.3,25.0,1708.0,17.9,140,29.7,9.0,0.0,13.0,2.0,4.0,8.0,5.0,21,41.0
BU000005,Hortusbuurt-Ebbingekwartier,WK001400,12509.0,5.0,41.0,30.0,15.0,9.0,82.0,11.0,5.0,2.0,4080.0,79.0,15.0,6.0,1.3,17.0,11.0,0.0,2.0,1.0,1.0,8.0,0.0,167.0,21.0,79.0,25.0,72.0,34.0,37.0,86.0,14.0,22.0,77.0,7.0,220.0,6.0,1070.0,0.3,110.0,5452.0,20.3,450,32.1,20.0,2.0,68.0,16.0,9.0,24.0,13.0,108,152.0
BU000100,De Meeuwen,WK001401,6480.0,10.0,27.0,24.0,23.0,16.0,68.0,23.0,6.0,3.0,935.0,67.0,20.0,13.0,1.5,26.0,10.0,0.0,1.0,0.0,0.0,8.0,0.0,243.0,41.0,59.0,58.0,42.0,15.0,26.0,85.0,15.0,31.0,45.0,21.0,10.0,1.0,480.0,0.5,40.0,1416.0,7.2,40,43.4,3.0,0.0,18.0,6.0,13.0,12.0,6.0,33,58.0
BU000101,Oosterpoort,WK001401,13097.0,5.0,33.0,34.0,19.0,9.0,81.0,11.0,6.0,2.0,3740.0,71.0,21.0,8.0,1.4,15.0,7.0,0.0,1.0,1.0,0.0,5.0,0.0,162.0,34.0,66.0,30.0,68.0,29.0,39.0,87.0,13.0,23.0,71.0,6.0,240.0,3.0,1355.0,0.4,145.0,5191.0,18.1,450,30.9,18.0,0.0,47.0,1.0,14.0,21.0,5.0,124,106.0
BU000102,Herewegbuurt,WK001401,10027.0,8.0,35.0,34.0,17.0,6.0,81.0,13.0,4.0,1.0,1065.0,71.0,20.0,10.0,1.4,14.0,7.0,0.0,1.0,1.0,1.0,4.0,0.0,195.0,29.0,71.0,46.0,53.0,7.0,46.0,86.0,14.0,27.0,63.0,13.0,30.0,12.0,455.0,0.4,55.0,1632.0,12.5,80,39.6,7.0,0.0,23.0,3.0,4.0,12.0,9.0,31,58.0
BU000103,Rivierenbuurt,WK001401,8211.0,5.0,32.0,36.0,14.0,13.0,78.0,13.0,6.0,3.0,3380.0,74.0,19.0,6.0,1.3,14.0,8.0,0.0,1.0,1.0,0.0,6.0,0.0,164.0,4.0,96.0,30.0,70.0,37.0,33.0,90.0,10.0,24.0,71.0,6.0,170.0,5.0,1250.0,0.4,125.0,4540.0,16.1,350,31.0,8.0,0.0,41.0,0.0,12.0,13.0,4.0,76,78.0
BU000104,Grunobuurt,WK001401,9788.0,6.0,29.0,43.0,14.0,8.0,81.0,11.0,6.0,2.0,1550.0,72.0,20.0,8.0,1.4,13.0,9.0,0.0,1.0,1.0,0.0,6.0,0.0,153.0,3.0,97.0,36.0,64.0,33.0,31.0,91.0,9.0,24.0,68.0,6.0,60.0,4.0,585.0,0.4,40.0,2138.0,11.3,110,31.5,12.0,0.0,23.0,1.0,5.0,6.0,3.0,34,50.0
BU000105,Badstratenbuurt,WK001401,14606.0,4.0,35.0,42.0,14.0,5.0,86.0,8.0,5.0,1.0,675.0,76.0,19.0,5.0,1.3,13.0,11.0,0.0,2.0,1.0,0.0,8.0,0.0,132.0,26.0,74.0,22.0,77.0,34.0,43.0,88.0,12.0,21.0,78.0,5.0,50.0,5.0,185.0,0.3,20.0,882.0,24.0,100,27.6,5.0,0.0,34.0,1.0,3.0,7.0,3.0,17,53.0
BU000106,Zeeheldenbuurt,WK001401,9513.0,4.0,49.0,34.0,10.0,4.0,89.0,7.0,3.0,1.0,2485.0,79.0,16.0,5.0,1.3,13.0,8.0,0.0,1.0,1.0,0.0,6.0,0.0,149.0,3.0,97.0,38.0,61.0,15.0,46.0,91.0,9.0,19.0,78.0,4.0,70.0,4.0,650.0,0.3,70.0,3159.0,10.9,130,30.1,16.0,1.0,119.0,2.0,10.0,23.0,12.0,35,183.0
BU000107,Laanhuizen,WK001401,6021.0,8.0,31.0,36.0,15.0,9.0,79.0,14.0,5.0,2.0,810.0,64.0,26.0,11.0,1.5,10.0,5.0,0.0,0.0,1.0,0.0,4.0,0.0,161.0,14.0,86.0,58.0,42.0,7.0,35.0,91.0,9.0,25.0,54.0,9.0,20.0,1.0,380.0,0.5,25.0,1242.0,6.4,30,38.1,7.0,0.0,15.0,3.0,1.0,10.0,3.0,27,39.0
BU000108,Stadspark,WK001401,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,67.0,11.0,22.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,28.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
