PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;REKENEN_LAGER1F;REKENEN_1F;REKENEN_1S;REKENEN_2F;LV_LAGER1F;LV_1F;LV_2F;TV_LAGER1F;TV_1F;TV_2F
20170415;00AP;0;De Schanskorf;2715BT;ZOETERMEER;637;Zoetermeer;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;3;3;5;0;1;5;5;1;3;7
20170415;00AR;0;"BS ""De Maasparel""";6107AW;STEVENSWEERT;1641;Maasgouw;Limburg;Bo;Rooms-Katholiek;41797;1;7;13;0;0;5;16;2;6;13
20170415;00AV;0;De Morgenster;3201CN;SPIJKENISSE;1930;Nissewaard;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;1;6;2;0;0;3;6;0;3;6
20170415;00AZ;0;De Kiezel en de Kei;2971AR;BLESKENSGRAAF CA;1927;Molenwaard;Zuid-Holland;Bo;Openbaar;41638;2;5;0;8;0;3;12;0;4;11
20170415;00BA;0;OBS De Klimboom;6666EB;HETEREN;1734;Overbetuwe;Gelderland;Bo;Openbaar;41530;1;8;1;15;0;5;20;0;7;18
20170415;00BB;0;Obs Letterwies;9944AR;NIEUWOLDA;1895;Oldambt;Groningen;Bo;Openbaar;41613;3;4;2;0;3;5;1;2;4;3
20170415;00BS;0;Geref Basisschool;7711KP;NIEUWLEUSEN;148;Dalfsen;Overijssel;Bo;Gereformeerd vrijgemaakt;41168;2;9;9;0;0;6;14;0;7;13
20170415;00BW;0;Jenaplanschool De Vlieger;6131KJ;SITTARD;1883;Sittard-Geleen;Limburg;Bo;Algemeen bijzonder;41516;0;2;0;5;0;1;6;0;2;5
20170415;00CD;0;Basisschool Lockaert;5345JG;OSS;828;Oss;Noord-Brabant;Bo;Algemeen bijzonder;41228;1;6;4;0;1;5;5;0;4;7
20170415;00CG;0;De Harlekijn;6372AC;LANDGRAAF;882;Landgraaf;Limburg;Bo;Openbaar;41516;2;23;21;0;0;15;31;1;18;27
20170415;00CS;0;De Leilinde;9671JA;WINSCHOTEN;1895;Oldambt;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;2;6;0;0;2;6;0;2;6
20170415;00CU;0;Basisschool Zilverlinde;4707HS;ROOSENDAAL;1674;Roosendaal;Noord-Brabant;Bo;Antroposofisch;41246;1;0;0;8;0;1;8;0;2;7
20170415;00CV;0;School Matthijsje;8388NA;OOSTERSTREEK;98;Weststellingwerf;Friesland;Bo;Algemeen bijzonder;20210;0;3;3;0;0;2;4;0;2;4
20170415;00DA;0;Chr BS Betrouwen;9243SJ;BAKKEVEEN;86;Opsterland;Friesland;Bo;Protestants-Christelijk;30051;0;0;0;0;0;0;0;0;0;0
20170415;00DD;0;Basissch Het Startnest;1422LE;UITHOORN;451;Uithoorn;Noord-Holland;Bo;Rooms-Katholiek;30090;1;12;22;0;5;12;18;1;13;21
20170415;00DM;0;De Bolderik;5473PG;HEESWIJK-DINTHER;1721;Bernheze;Noord-Brabant;Bo;Openbaar;13674;0;10;9;0;0;6;13;3;4;12
20170415;00DN;0;De Bundeling;6241BB;BUNDE;938;Meerssen;Limburg;Bo;Openbaar;42669;0;13;8;0;0;7;14;0;10;11
20170415;00DO;0;Van Rijckevorsel;3151CJ;HOEK VAN HOLLAND;599;Rotterdam;Zuid-Holland;Bo;Openbaar;41775;0;6;8;0;0;6;8;0;6;8
20170415;00DW;0;De Trompetter;6986AT;ANGERLO;299;Zevenaar;Gelderland;Bo;Rooms-Katholiek;61284;0;6;10;0;0;4;12;0;4;12
20170415;00DX;0;Vrije School Assen;9404KK;ASSEN;106;Assen;Drenthe;Bo;Antroposofisch;77456;0;12;0;4;0;1;15;0;7;9
20170415;00DY;0;Basisschool De Wegwijzer;8084GK;'T HARDE;230;Elburg;Gelderland;Bo;Gereformeerd vrijgemaakt;41632;1;5;6;0;1;5;6;3;1;8
20170415;00DZ;0;Agnieten-School;8081NB;ELBURG;230;Elburg;Gelderland;Bo;Rooms-Katholiek;40950;0;3;5;4;0;0;12;0;3;9
